user_query,team_name,label_score,focused_scores
화려한 느낌이 나면서 맥스 천하 같은 면모도 있는 팀이 있을까?,레드불,0.94,star_power
화려한 느낌이 나면서 맥스 천하 같은 면모도 있는 팀이 있을까?,자우버,0.4708,star_power
화려한 느낌이 나면서 맥스 천하 같은 면모도 있는 팀이 있을까?,페라리,0.6868,star_power
속도감 있는 그리고 팬덤이 뜨거운 느낌이 나면서 페라리_B팀 같은 면모도 있는 팀이 있을까?,레드불,0.5828,"attack_style, fan_passion"
속도감 있는 그리고 팬덤이 뜨거운 느낌이 나면서 페라리_B팀 같은 면모도 있는 팀이 있을까?,자우버,0.749,"attack_style, fan_passion"
속도감 있는 그리고 팬덤이 뜨거운 느낌이 나면서 페라리_B팀 같은 면모도 있는 팀이 있을까?,페라리,0.6565,"attack_style, fan_passion"
속도감 있는 느낌이 나면서 공격적 전략 같은 면모도 있는 팀이 있을까?,레드불,0.8836,attack_style
속도감 있는 느낌이 나면서 공격적 전략 같은 면모도 있는 팀이 있을까?,자우버,0.3424,attack_style
속도감 있는 느낌이 나면서 공격적 전략 같은 면모도 있는 팀이 있을까?,페라리,0.6262,attack_style
인기 많은 느낌이 나면서 붉은 제국 같은 면모도 있는 팀이 있을까?,레드불,0.5828,fan_passion
인기 많은 느낌이 나면서 붉은 제국 같은 면모도 있는 팀이 있을까?,자우버,0.4708,fan_passion
인기 많은 느낌이 나면서 붉은 제국 같은 면모도 있는 팀이 있을까?,페라리,0.98,fan_passion
돈 많은 느낌이 나면서 이탈리아의 자부심 같은 면모도 있는 팀이 있을까?,레드불,0.5828,money
돈 많은 느낌이 나면서 이탈리아의 자부심 같은 면모도 있는 팀이 있을까?,자우버,0.535,money
돈 많은 느낌이 나면서 이탈리아의 자부심 같은 면모도 있는 팀이 있을까?,페라리,0.98,money
투자를 많이 하는 그리고 약팀의 반란 느낌이 나면서 에너지 드링크 같은 면모도 있는 팀이 있을까?,레드불,0.658,"money, underdog_feel"
