user_query,target_team,category
I am looking for a team that is WokingBase and ConstructorsWinners.,맥라렌,tag_based
I am looking for a team that is AggressiveDevelopment and ConstructorsWinners.,맥라렌,tag_based
I'm a huge fan of Man City. Is there a similar dominant F1 team?,맥라렌,cross_fan
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is SennaProstEra and Papaya.,맥라렌,tag_based
I am looking for a team that is HighStandards and MercedesPower.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is EngineeringExcellence and WokingBase.,맥라렌,tag_based
I am looking for a team that is MercedesPower and Resurgent.,맥라렌,tag_based
I am looking for a team that is ConstructorsWinners and EngineeringExcellence.,맥라렌,tag_based
I'm a huge fan of Man City. Is there a similar dominant F1 team?,맥라렌,cross_fan
I am looking for a team that is Resurgent and Historic.,맥라렌,tag_based
I am looking for a team that is Papaya and ConstructorsWinners.,맥라렌,tag_based
I am looking for a team that is OperationalStrength and HighStandards.,맥라렌,tag_based
I'm a huge fan of Kia Tigers. Is there a similar passionate F1 team?,맥라렌,cross_fan
I am looking for a team that is Resurgent and NextGenTalent.,맥라렌,tag_based
I am looking for a team that is ConstructorsWinners and AggressiveDevelopment.,맥라렌,tag_based
I am looking for a team that is HighStandards and ConstructorsWinners.,맥라렌,tag_based
I am looking for a team that is NextGenTalent and Papaya.,맥라렌,tag_based
I am looking for a team that is Champions and AggressiveDevelopment.,맥라렌,tag_based
I am looking for a team that is Champions and EngineeringExcellence.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is MercedesPower and NextGenTalent.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is NextGenTalent and Legacy.,맥라렌,tag_based
I am looking for a team that is EngineeringExcellence and Historic.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is ZakBrownLeadership and Champions.,맥라렌,tag_based
I am looking for a team that is EngineeringExcellence and Champions.,맥라렌,tag_based
I'm a huge fan of Tottenham. Is there a similar underdog F1 team?,맥라렌,cross_fan
I am looking for a team that is Resurgent and OperationalStrength.,맥라렌,tag_based
I am looking for a team that is NextGenTalent and OperationalStrength.,맥라렌,tag_based
I am looking for a team that is WokingBase and AggressiveDevelopment.,맥라렌,tag_based
I am looking for a team that is Resurgent and OperationalStrength.,맥라렌,tag_based
I'm a huge fan of Tottenham. Is there a similar underdog F1 team?,맥라렌,cross_fan
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I'm a huge fan of Man City. Is there a similar dominant F1 team?,맥라렌,cross_fan
I am looking for a team that is Historic and MercedesPower.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I'm a huge fan of Man City. Is there a similar dominant F1 team?,맥라렌,cross_fan
I am looking for a team that is ConstructorsWinners and NextGenTalent.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I'm a huge fan of Kia Tigers. Is there a similar passionate F1 team?,맥라렌,cross_fan
I am looking for a team that is SennaProstEra and Champions.,맥라렌,tag_based
I am looking for a team that is Legacy and ZakBrownLeadership.,맥라렌,tag_based
I am looking for a team that is AggressiveDevelopment and Resurgent.,맥라렌,tag_based
I am looking for a team that is AggressiveDevelopment and MercedesPower.,맥라렌,tag_based
I am looking for a team that is Champions and Historic.,맥라렌,tag_based
I am looking for a team that is NextGenTalent and ZakBrownLeadership.,맥라렌,tag_based
I am looking for a team that is Champions and ConstructorsWinners.,맥라렌,tag_based
I am looking for a team that is NextGenTalent and HighStandards.,맥라렌,tag_based
I am looking for a team that is OperationalStrength and Resurgent.,맥라렌,tag_based
I am looking for a team that is Papaya and MercedesPower.,맥라렌,tag_based
I am looking for a team that is NextGenTalent and MercedesPower.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is AggressiveDevelopment and Papaya.,맥라렌,tag_based
I am looking for a team that is Papaya and WokingBase.,맥라렌,tag_based
I am looking for a team that is ConstructorsWinners and Historic.,맥라렌,tag_based
I am looking for a team that is Legacy and Historic.,맥라렌,tag_based
I am looking for a team that is ConstructorsWinners and NextGenTalent.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I'm a huge fan of Tottenham. Is there a similar underdog F1 team?,맥라렌,cross_fan
I'm a huge fan of Man City. Is there a similar dominant F1 team?,맥라렌,cross_fan
I am looking for a team that is EngineeringExcellence and AggressiveDevelopment.,맥라렌,tag_based
I am looking for a team that is SennaProstEra and OperationalStrength.,맥라렌,tag_based
I'm a huge fan of Tottenham. Is there a similar underdog F1 team?,맥라렌,cross_fan
I am looking for a team that is WokingBase and NextGenTalent.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is ConstructorsWinners and AggressiveDevelopment.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is Resurgent and Papaya.,맥라렌,tag_based
I am looking for a team that is OperationalStrength and HighStandards.,맥라렌,tag_based
I am looking for a team that is WokingBase and HighStandards.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is ZakBrownLeadership and OperationalStrength.,맥라렌,tag_based
I am looking for a team that is EngineeringExcellence and HighStandards.,맥라렌,tag_based
I am looking for a team that is Champions and ZakBrownLeadership.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is EngineeringExcellence and NextGenTalent.,맥라렌,tag_based
I am looking for a team that is SennaProstEra and ConstructorsWinners.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is NextGenTalent and WokingBase.,맥라렌,tag_based
I am looking for a team that is NextGenTalent and Papaya.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is WokingBase and AggressiveDevelopment.,맥라렌,tag_based
I am looking for a team that is ConstructorsWinners and NextGenTalent.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is MercedesPower and SennaProstEra.,맥라렌,tag_based
I am looking for a team that is NextGenTalent and AggressiveDevelopment.,맥라렌,tag_based
I am looking for a team that is Legacy and OperationalStrength.,맥라렌,tag_based
I am looking for a team that is Legacy and Papaya.,맥라렌,tag_based
I am looking for a team that is Papaya and OperationalStrength.,맥라렌,tag_based
I'm a huge fan of Man City. Is there a similar dominant F1 team?,맥라렌,cross_fan
I am looking for a team that is NextGenTalent and HighStandards.,맥라렌,tag_based
I am looking for a team that is Papaya and HighStandards.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is SennaProstEra and Historic.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is ConstructorsWinners and Historic.,맥라렌,tag_based
I'm a huge fan of Tottenham. Is there a similar underdog F1 team?,맥라렌,cross_fan
I am looking for a team that is WokingBase and MercedesPower.,맥라렌,tag_based
I am looking for a team that is Resurgent and Historic.,맥라렌,tag_based
I am looking for a team that is Papaya and MercedesPower.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is OperationalStrength and EngineeringExcellence.,맥라렌,tag_based
I am looking for a team that is NextGenTalent and WokingBase.,맥라렌,tag_based
I am looking for a team that is OperationalStrength and WokingBase.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is Historic and Champions.,맥라렌,tag_based
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is EngineeringExcellence and SennaProstEra.,맥라렌,tag_based
I'm a huge fan of Man City. Is there a similar dominant F1 team?,맥라렌,cross_fan
I prefer a team with a long history and deep heritage.,맥라렌,narrative
I am looking for a team that is Papaya and ConstructorsWinners.,맥라렌,tag_based
I'm a huge fan of Kia Tigers. Is there a similar passionate F1 team?,맥라렌,cross_fan
I am looking for a team that is Resurgent and MercedesPower.,맥라렌,tag_based
I'm a huge fan of Tottenham. Is there a similar underdog F1 team?,메르세데스,cross_fan
I am looking for a team that is WorldChampions and TotoWolff.,메르세데스,tag_based
I prefer a team with a long history and deep heritage.,메르세데스,narrative
I'm a huge fan of Tottenham. Is there a similar underdog F1 team?,메르세데스,cross_fan
I am looking for a team that is TechnicalExcellence and SilverArrows.,메르세데스,tag_based
I am looking for a team that is PostTurboEra and CalculatedStrategy.,메르세데스,tag_based
I am looking for a team that is MotorsportHeritage and Dynasty.,메르세데스,tag_based
I prefer a team with a long history and deep heritage.,메르세데스,narrative
I am looking for a team that is RecordBreakers and WorldChampions.,메르세데스,tag_based
I am looking for a team that is CalculatedStrategy and PrecisionEngineering.,메르세데스,tag_based
I'm a huge fan of Man City. Is there a similar dominant F1 team?,메르세데스,cross_fan
I am looking for a team that is RecordBreakers and LewisHamilton.,메르세데스,tag_based
I am looking for a team that is Resilient and GermanManufacturer.,메르세데스,tag_based
I am looking for a team that is TechnicalExcellence and LewisHamilton.,메르세데스,tag_based
I prefer a team with a long history and deep heritage.,메르세데스,narrative
I am looking for a team that is LewisHamilton and BrackleyBase.,메르세데스,tag_based
I prefer a team with a long history and deep heritage.,메르세데스,narrative
I'm a huge fan of Man City. Is there a similar dominant F1 team?,메르세데스,cross_fan
I prefer a team with a long history and deep heritage.,메르세데스,narrative
I am looking for a team that is PostTurboEra and GermanManufacturer.,메르세데스,tag_based
I am looking for a team that is PostTurboEra and PrecisionEngineering.,메르세데스,tag_based
I'm a huge fan of Man City. Is there a similar dominant F1 team?,메르세데스,cross_fan
I am looking for a team that is PostTurboEra and MotorsportHeritage.,메르세데스,tag_based
I prefer a team with a long history and deep heritage.,메르세데스,narrative
I am looking for a team that is MotorsportHeritage and GermanManufacturer.,메르세데스,tag_based
I am looking for a team that is PostTurboEra and Resilient.,메르세데스,tag_based
I'm a huge fan of Tottenham. Is there a similar underdog F1 team?,메르세데스,cross_fan
I prefer a team with a long history and deep heritage.,메르세데스,narrative
